0,1,2,3,4,5
Taehyung todo pitico 💜🥺,Maria Eduarda,2023-02-21T21:25:15Z,2023-02-21T21:25:15Z,1,0cWKAJFnBVA
"I am so happy to see kim taehyung on a variety show, thank you for being V and welcome to kim taehyung for a new start ♥️",R,2023-02-21T21:23:59Z,2023-02-21T21:23:59Z,1,0cWKAJFnBVA
"Kim Taehyung is so kind and funny, his personality is the same everywhere, my heart and soul always melts with warm whenever I watch him talk or laugh or sing, love you kim taehyung",R,2023-02-21T21:23:16Z,2023-02-21T21:23:16Z,1,0cWKAJFnBVA
"외국어가.너무 많다.
이거 bts때문인가?
한국 정서 프로그램인데 외국인들 이해는 해?",키네코 -우다다 중2병아재의 기록들,2023-02-21T21:22:43Z,2023-02-21T21:22:43Z,0,0cWKAJFnBVA
태형오빠가 화낼 사람이 아닌데? 태태어인데ㅜㅜ,조아현,2023-02-21T21:22:31Z,2023-02-21T21:38:30Z,1,0cWKAJFnBVA
"Son muy geniales, me he divertido mucho. Deseo todo el éxito que se merecen 🙌🙌🏽🙌🏽💜💜💜💜🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷",Maria Ofelia Delgado,2023-02-21T21:22:21Z,2023-02-21T21:22:21Z,2,0cWKAJFnBVA
"Can't wait to see kim taehyung actor comeback and your masterpiece album to be released, always be healthy and happy kim taehyung",R,2023-02-21T21:22:19Z,2023-02-21T21:22:19Z,2,0cWKAJFnBVA
"Thank you kim taehyung for being on the show , thanks to all the cast and team for loving taehyung, thank you so much",R,2023-02-21T21:21:34Z,2023-02-21T21:21:34Z,2,0cWKAJFnBVA
Essa alegria é contagiante!Aprecio demais!🇧🇷🇧🇷🇧🇷🤗🤩🤩🤩🤩🤩,Cida Freitas,2023-02-21T21:21:18Z,2023-02-21T21:21:18Z,1,0cWKAJFnBVA
"I can’t wait to watch the show kim taehyung, all the love and support from Egypt, come to Cairo next time you will love it",R,2023-02-21T21:20:30Z,2023-02-21T21:20:30Z,1,0cWKAJFnBVA
Kim Taehyung thank you for being you,R,2023-02-21T21:19:51Z,2023-02-21T21:19:51Z,1,0cWKAJFnBVA
